name,leisure,longitude,latitude
Kadıköy Belediyesi Caferağa Spor Salonu,sports_centre,29.026037110652457,40.98838364836438
Boğaziçi Üniversitesi Hisar Spor Tesisleri,sports_centre,29.050576727971954,41.08871146064273
Beykent Üniversitesi Spor Kompleksi,sports_centre,28.625283080742875,41.01828118742009
İstanbul Site Spor Kulübü,sports_centre,29.15159259354778,40.9899755713123
Arel Koleji Ahmet Gözükara Spor ve Kültür Kompleksi,sports_centre,28.82433862865596,41.01684314666383
İBB İstanbul Üniversitesi Avcılar Spor Kompleksi,sports_centre,28.72150108318259,40.99698432041304
İbn Haldun Üniversitesi Spor Merkezi,sports_centre,28.80016596645465,41.13413562318626
Marmara Üniversitesi Spor Sahaları,sports_centre,29.130130987883625,40.96349654072129
Hidayet Türkoğlu Basketbol ve Spor Okulları,sports_centre,29.1376594,41.0023369
