name,amenity,shop,longitude,latitude,market_type
Çağrı Market Küçükyalı,,supermarket,29.1078524,40.9471669,local
İnanlar Bakkal,,supermarket,28.9016162,41.0380675,local
İdris Bakkal,,supermarket,28.9285979,41.0149965,local
Silivrikapı Tekel ve Bakkal,,supermarket,28.92377,41.0065184,local
Mini halk pazarı,,supermarket,28.9524142,41.0188423,local
Ercan gida mini hal pazarı,,supermarket,28.9495808,41.0248309,local
Sultan ahmet mini market,,supermarket,28.9734465,41.0051834,local
Paşa MiniMarket,,supermarket,28.9756824,41.0034533,local
kurtuluş bakkal,,supermarket,29.2332753,40.8884735,local
Ekomini,,supermarket,29.2725558,40.9476548,local
Gülsah Mini Market,,supermarket,29.2679111,40.9729732,local
Ayhan Mini Market,,supermarket,29.2701258,40.9592636,local
Kaçkar Mini Market,,supermarket,29.269834,40.9729092,local
Genç Mini Market,,supermarket,29.268767,40.9735993,local
Harun mini market,,supermarket,29.2684745,40.9668651,local
Karakaş mini market kuruyemiş,,supermarket,29.2718648,40.9654879,local
Ravzanur mini market,,supermarket,29.2700194,40.9586013,local
Özdemir mini market,,supermarket,29.267519,40.9519079,local
Fath mini market,,supermarket,29.2805941,40.9685414,local
Ayoğlu mini,,supermarket,29.2800021,40.9855919,local
Kısmet Mini Market,,supermarket,28.9024597,40.9897827,local
ekamini,,supermarket,28.8949112,40.9854107,local
Birlik Mini Maket,,supermarket,29.0431966,40.99933,local
Ekomini,,supermarket,28.5894107,41.017989,local
Bakkalım Market,,supermarket,28.5867867,41.0198023,local
Bakkalköy Balıkçısı,,supermarket,29.1134982,40.9803956,local
Koçaklar Mini Market & Mini Hal,,supermarket,29.310573,40.8217509,local
Organik Bakkal,,supermarket,29.0529679,40.9753187,local
